Description,Price,Rating,Rating Count,URL
Acer Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CB314-3H-C5QE Chromebook,"₹18,990",3.8,140 Ratings ,https://www.flipkart.com//acer-intel-celeron-dual-core-n4500-8-gb-128-gb-emmc-storage-chrome-os-cb314-3h-c5qe-chromebook/p/itmf7e8ce733eb56?pid=COMGSV3G3RYBAHX4&lid=LSTCOMGSV3G3RYBAHX4EEGVFD&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_11&otracker=search&otracker1=search&iid=en_H2_mDfV2Nt9usMpoN2OSSnc3v9_I0NEJTUvwgFH8HgihWmlzMGbzx6X8FOCX8kN46u7uWD2efPkkOfVtv0cPAmaRs4JL222ZRV-dN99QnxU%3D&ssid=n3gjj5qof40000001716893751312&qH=c06ea84a1e3dc3c6
ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-NJ0393 C...,"₹16,990",3.8,670 Ratings ,https://www.flipkart.com//asus-chromebook-intel-celeron-dual-core-n4500-4-gb-64-gb-emmc-storage-chrome-os-cx1500cka-nj0393/p/itmc1d20ec9ce589?pid=COMGSHM3XESWZ6AT&lid=LSTCOMGSHM3XESWZ6ATVEMMNA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=search&otracker1=search&iid=en_H2_mDfV2Nt9usMpoN2OSSnc3v9_I0NEJTUvwgFH8HgiYuWdtfG6f1IqpDFZkeUapbmGvdVAivd9hM9gguq25Aa8iqbiwhGf4dwbXVx7ZSks%3D&ssid=n3gjj5qof40000001716893751312&qH=c06ea84a1e3dc3c6
Apple 2020 Macbook Air Apple M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,"₹71,990",4.7,"14,974 Ratings ",https://www.flipkart.com//apple-2020-macbook-air-m1-8-gb-256-gb-ssd-mac-os-big-sur-mgn63hn-a/p/itm3c872f9e67bc6?pid=COMFXEKMGNHZYFH9&lid=LSTCOMFXEKMGNHZYFH9P56X45&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_13&otracker=search&otracker1=search&iid=e5359909-2ef0-474f-8d0b-bf8396f9e7c8.COMFXEKMGNHZYFH9.SEARCH&ssid=n3gjj5qof40000001716893751312&qH=c06ea84a1e3dc3c6
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3520 Thin and Light Lap...,"₹32,840",4.2,945 Ratings ,https://www.flipkart.com//dell-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-inspiron-3520-thin-light-laptop/p/itm0cdfd7f4e9613?pid=COMGUY2YPKP7NC2P&lid=LSTCOMGUY2YPKP7NC2PBHBZX2&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_14&otracker=search&otracker1=search&iid=e5359909-2ef0-474f-8d0b-bf8396f9e7c8.COMGUY2YPKP7NC2P.SEARCH&ssid=n3gjj5qof40000001716893751312&qH=c06ea84a1e3dc3c6
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ993WS Thi...,"₹41,990",4.3,"2,657 Ratings ",https://www.flipkart.com//asus-vivobook-15-intel-core-i3-12th-gen-1215u-16-gb-512-gb-ssd-windows-11-home-x1502za-ej993ws-thin-light-laptop/p/itmf8b65b51db349?pid=COMGS7M3HHJQYVKB&lid=LSTCOMGS7M3HHJQYVKBRTO2VL&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_15&otracker=search&otracker1=search&iid=e5359909-2ef0-474f-8d0b-bf8396f9e7c8.COMGS7M3HHJQYVKB.SEARCH&ssid=n3gjj5qof40000001716893751312&qH=c06ea84a1e3dc3c6
CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook X_Pro Laptop,"₹17,990",4,130 Ratings ,https://www.flipkart.com//chuwi-intel-celeron-quad-core-12th-gen-n100-8-gb-256-gb-ssd-windows-11-home-gemibook-x-pro-laptop/p/itm95998eabab6f9?pid=COMGVBZBDZJXUZFC&lid=LSTCOMGVBZBDZJXUZFCFYZTJO&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_16&otracker=search&otracker1=search&iid=e5359909-2ef0-474f-8d0b-bf8396f9e7c8.COMGVBZBDZJXUZFC.SEARCH&ssid=n3gjj5qof40000001716893751312&qH=c06ea84a1e3dc3c6
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Plus Laptop,"₹18,990",3.7,408 Ratings ,https://www.flipkart.com//chuwi-intel-celeron-dual-core-11th-gen-n4020-8-gb-256-gb-ssd-windows-11-home-herobook-plus-laptop/p/itm9002f3d92e61f?pid=COMGYAM9KS83NEPS&lid=LSTCOMGYAM9KS83NEPSPOX0OT&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_17&otracker=search&otracker1=search&iid=en_H2_mDfV2Nt9usMpoN2OSSnc3v9_I0NEJTUvwgFH8HghzH4uUR5ZEdbwP_ANCldwHpVAw7cngyGrEmMyKsemwxw%3D%3D&ssid=n3gjj5qof40000001716893751312&qH=c06ea84a1e3dc3c6
MSI Prestige 16 AI Evo Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home) Prestige 16 AI Evo B...,"₹1,19,990",No reviews,0,https://www.flipkart.com//msi-prestige-16-ai-evo-intel-core-ultra-7-155h-16-gb-1-tb-ssd-windows-11-home-b1mg-thin-light-laptop/p/itm4d200daec4a57?pid=COMGXMTAZZ4KFWHP&lid=LSTCOMGXMTAZZ4KFWHPAVY9Y8&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_18&otracker=search&otracker1=search&iid=en_H2_mDfV2Nt9usMpoN2OSSnc3v9_I0NEJTUvwgFH8HghPzj7GYx36vRLlCys7e99b-ziC6UQ0IyUfzQg96ZyqU8srgPW5YLzJU0_H6_RHKR0%3D&ssid=n3gjj5qof40000001716893751312&qH=c06ea84a1e3dc3c6
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ545WS Thi...,"₹52,990",4.1,"1,423 Ratings ",https://www.flipkart.com//asus-vivobook-15-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-x1502za-ej545ws-thin-light-laptop/p/itm2b6308ea1ee21?pid=COMGR5QEDDTGGUBX&lid=LSTCOMGR5QEDDTGGUBXOVXZAO&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_19&otracker=search&otracker1=search&iid=e5359909-2ef0-474f-8d0b-bf8396f9e7c8.COMGR5QEDDTGGUBX.SEARCH&ssid=n3gjj5qof40000001716893751312&qH=c06ea84a1e3dc3c6
HP 255 G9 AMD Ryzen 3 Dual Core R3 3250 - (8 GB/512 GB SSD/Windows 11 Home) 255 G8 Business Laptop,"₹25,598",4.1,322 Ratings ,https://www.flipkart.com//hp-255-g9-amd-ryzen-3-dual-core-r3-3250-8-gb-512-gb-ssd-windows-11-home-g8-business-laptop/p/itm9015dcea94ace?pid=COMGNFU7MHGWNHHA&lid=LSTCOMGNFU7MHGWNHHAIIVTMC&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_20&otracker=search&otracker1=search&iid=e5359909-2ef0-474f-8d0b-bf8396f9e7c8.COMGNFU7MHGWNHHA.SEARCH&ssid=n3gjj5qof40000001716893751312&qH=c06ea84a1e3dc3c6
