Description                                                                                                                                                                                                      ,Price       ,Rating             ,Review Count             ,URL
"Redmi Note 13 Pro (Coral Purple, 8GB RAM, 128GB Storage) | 1.5K AMOLED | 200MP Hi-Res Camera | Flagship 4nm SD 7s Gen 2 | 67W TurboCharge"                                                                      ,"₹23,999"   ,3.7 out of 5 stars ,46                       ,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNjkyODE0ODUzODcyMTM4OjE3MTYwMjEzODU6c3BfbXRmOjMwMDE1Mjc5NzQ2MDMzMjo6MDo6&url=%2FRedmi-Purple-Storage-Flagship-TurboCharge%2Fdp%2FB0CRQG58T8%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.FlpgRbdNBnM-JRm7zPGgHjIdEnqXEOT7C7iQ1-PAymsEKznh-VRIwHle5hVqylTYJemHu0sgF3KbLC_PMBjrEnSovtXQzy-i2LdL3wlcQxch9xcXwY-GPTouqssyUs3sL5gpWEZFeoJyJKzMt_doa8zs7-9QiQwkhqFUOqNckPgj95i7-HGkQSAsFUjiFCnaHO3GxMT1U5kxJ5R17lyv-pHT0OrJlMqBajt9NQLhSgA.DECafaPKqOqt4pHJEtt1oWmUz5rB3cr6EV3Q6GRrAB4%26dib_tag%3Dse%26keywords%3DMotorola%2Bedge%2B50%2Bfusion%26qid%3D1716021385%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Lava O2 (Majestic Purple, 8GB RAM, UFS 2.2 128GB Storage) |AG Glass Back|T616 Octacore Processor|18W Fast Charging|6.5 inch 90Hz Punch Hole Display|50MP AI Dual Camera|Upto 16GB Expandable RAM"               ,"₹7,999"    ,3.8 out of 5 stars ,47                       ,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNjkyODE0ODUzODcyMTM4OjE3MTYwMjEzODU6c3BfbXRmOjMwMDE3MzI4OTAwMzAzMjo6MDo6&url=%2FLava-O2-Majestic-Purple-Expandable%2Fdp%2FB0CVKVGZP1%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.FlpgRbdNBnM-JRm7zPGgHjIdEnqXEOT7C7iQ1-PAymsEKznh-VRIwHle5hVqylTYJemHu0sgF3KbLC_PMBjrEnSovtXQzy-i2LdL3wlcQxch9xcXwY-GPTouqssyUs3sL5gpWEZFeoJyJKzMt_doa8zs7-9QiQwkhqFUOqNckPgj95i7-HGkQSAsFUjiFCnaHO3GxMT1U5kxJ5R17lyv-pHT0OrJlMqBajt9NQLhSgA.DECafaPKqOqt4pHJEtt1oWmUz5rB3cr6EV3Q6GRrAB4%26dib_tag%3Dse%26keywords%3DMotorola%2Bedge%2B50%2Bfusion%26qid%3D1716021385%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Motorola Edge 40 Neo 5G (Peach Fuzz, 8GB RAM, 128GB Storage)"                                                                                                                                                   ,"₹22,300"   ,3.7 out of 5 stars ,14                       ,https://www.amazon.in/Motorola-Edge-Peach-128GB-Storage/dp/B0CTGZ2JW8/ref=sr_1_13?dib=eyJ2IjoiMSJ9.FlpgRbdNBnM-JRm7zPGgHjIdEnqXEOT7C7iQ1-PAymsEKznh-VRIwHle5hVqylTYJemHu0sgF3KbLC_PMBjrEnSovtXQzy-i2LdL3wlcQxch9xcXwY-GPTouqssyUs3sL5gpWEZFeoJyJKzMt_doa8zs7-9QiQwkhqFUOqNckPgj95i7-HGkQSAsFUjiFCnaHO3GxMT1U5kxJ5R17lyv-pHT0OrJlMqBajt9NQLhSgA.DECafaPKqOqt4pHJEtt1oWmUz5rB3cr6EV3Q6GRrAB4&dib_tag=se&keywords=Motorola+edge+50+fusion&qid=1716021385&sr=8-13
"Motorola Edge+ (Thunder Grey, 256 GB) (12 GB RAM)"                                                                                                                                                              ,"₹49,999"   ,2.6 out of 5 stars ,57                       ,https://www.amazon.in/Motorola-Edge-Thunder-Grey-256/dp/B08B4VLGKG/ref=sr_1_14?dib=eyJ2IjoiMSJ9.FlpgRbdNBnM-JRm7zPGgHjIdEnqXEOT7C7iQ1-PAymsEKznh-VRIwHle5hVqylTYJemHu0sgF3KbLC_PMBjrEnSovtXQzy-i2LdL3wlcQxch9xcXwY-GPTouqssyUs3sL5gpWEZFeoJyJKzMt_doa8zs7-9QiQwkhqFUOqNckPgj95i7-HGkQSAsFUjiFCnaHO3GxMT1U5kxJ5R17lyv-pHT0OrJlMqBajt9NQLhSgA.DECafaPKqOqt4pHJEtt1oWmUz5rB3cr6EV3Q6GRrAB4&dib_tag=se&keywords=Motorola+edge+50+fusion&qid=1716021385&sr=8-14
"Motorola Edge 30 (8GB, 128GB) (Aurora Green)"                                                                                                                                                                   ,"₹21,999"   ,3.3 out of 5 stars ,18                       ,https://www.amazon.in/Motorola-Edge-128GB-Aurora-Green/dp/B0BNKHK3F2/ref=sr_1_15?dib=eyJ2IjoiMSJ9.FlpgRbdNBnM-JRm7zPGgHjIdEnqXEOT7C7iQ1-PAymsEKznh-VRIwHle5hVqylTYJemHu0sgF3KbLC_PMBjrEnSovtXQzy-i2LdL3wlcQxch9xcXwY-GPTouqssyUs3sL5gpWEZFeoJyJKzMt_doa8zs7-9QiQwkhqFUOqNckPgj95i7-HGkQSAsFUjiFCnaHO3GxMT1U5kxJ5R17lyv-pHT0OrJlMqBajt9NQLhSgA.DECafaPKqOqt4pHJEtt1oWmUz5rB3cr6EV3Q6GRrAB4&dib_tag=se&keywords=Motorola+edge+50+fusion&qid=1716021385&sr=8-15
"Motorola G24 Power (Glacier Blue, 8GB RAM, 128GB Storage)"                                                                                                                                                      ,"₹9,234"    ,4.1 out of 5 stars ,38                       ,https://www.amazon.in/Motorola-Power-Glacier-128GB-Storage/dp/B0CV49HRGW/ref=sr_1_16?dib=eyJ2IjoiMSJ9.FlpgRbdNBnM-JRm7zPGgHjIdEnqXEOT7C7iQ1-PAymsEKznh-VRIwHle5hVqylTYJemHu0sgF3KbLC_PMBjrEnSovtXQzy-i2LdL3wlcQxch9xcXwY-GPTouqssyUs3sL5gpWEZFeoJyJKzMt_doa8zs7-9QiQwkhqFUOqNckPgj95i7-HGkQSAsFUjiFCnaHO3GxMT1U5kxJ5R17lyv-pHT0OrJlMqBajt9NQLhSgA.DECafaPKqOqt4pHJEtt1oWmUz5rB3cr6EV3Q6GRrAB4&dib_tag=se&keywords=Motorola+edge+50+fusion&qid=1716021385&sr=8-16
"Motorola G84 5G (Midnight Blue, 12GB RAM, 256GB Storage) | 50MP (OIS) | 16MP Front Camera | Snapdragon 695 Processor | Ultra Premium Vegan Leather Design | Unbelievable 5G Speeds with 14 5G Bands"            ,"₹19,980"   ,3.9 out of 5 stars ,103                      ,https://www.amazon.in/Motorola-Midnight-Storage-Billion-TurboPower/dp/B0CJ6XJZ3R/ref=sr_1_17?dib=eyJ2IjoiMSJ9.FlpgRbdNBnM-JRm7zPGgHjIdEnqXEOT7C7iQ1-PAymsEKznh-VRIwHle5hVqylTYJemHu0sgF3KbLC_PMBjrEnSovtXQzy-i2LdL3wlcQxch9xcXwY-GPTouqssyUs3sL5gpWEZFeoJyJKzMt_doa8zs7-9QiQwkhqFUOqNckPgj95i7-HGkQSAsFUjiFCnaHO3GxMT1U5kxJ5R17lyv-pHT0OrJlMqBajt9NQLhSgA.DECafaPKqOqt4pHJEtt1oWmUz5rB3cr6EV3Q6GRrAB4&dib_tag=se&keywords=Motorola+edge+50+fusion&qid=1716021385&sr=8-17
"Motorola G64 5G (Ice Lilac, 12GB RAM, 256GB Storage)"                                                                                                                                                           ,"₹17,800"   ,                   ,M.R.P:                   ,https://www.amazon.in/Motorola-Lilac-12GB-256GB-Storage/dp/B0D3BJ3719/ref=sr_1_18?dib=eyJ2IjoiMSJ9.FlpgRbdNBnM-JRm7zPGgHjIdEnqXEOT7C7iQ1-PAymsEKznh-VRIwHle5hVqylTYJemHu0sgF3KbLC_PMBjrEnSovtXQzy-i2LdL3wlcQxch9xcXwY-GPTouqssyUs3sL5gpWEZFeoJyJKzMt_doa8zs7-9QiQwkhqFUOqNckPgj95i7-HGkQSAsFUjiFCnaHO3GxMT1U5kxJ5R17lyv-pHT0OrJlMqBajt9NQLhSgA.DECafaPKqOqt4pHJEtt1oWmUz5rB3cr6EV3Q6GRrAB4&dib_tag=se&keywords=Motorola+edge+50+fusion&qid=1716021385&sr=8-18
"Redmi Note 13 Pro (Midnight Black, 8GB RAM, 128GB Storage) | 1.5K AMOLED | 200MP Hi-Res Camera | Flagship 4nm SD 7s Gen 2 | 67W TurboCharge"                                                                    ,"₹24,999"   ,4.0 out of 5 stars ,50                       ,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjY3MzU1NTYyNjc1MTM4OjE3MTYwMjEzODc6c3BfYXRmX25leHQ6MzAwMTUyNzk3NDYwNDMyOjowOjo&url=%2FRedmi-Note-13-Midnight-TurboCharge%2Fdp%2FB0CRQG5DWS%2Fref%3Dsr_1_17_sspa%3Fdib%3DeyJ2IjoiMSJ9.SKaw07qgXnHx47Xz0PmLtz0PWiwoBF9o2gWHarZxiR3znCWheagb-QdTrX1_N5X_41zJIZ0BHj-ct-YEkTSRRMg2h14QScIkz6tpHA8D8p1e-a_Xt8AvWUL-Xe0vHwz_lwrnkbEtGrZG4BhT5qr5nnOMhTv4I9sgjL2aEC5fwLmNhZd9Qu_ja0hPU9DW--H9TSDPae1bETY-xyrBoIhDaP7FuN8xBCfmKBufxLNerqs.om6M-O_l962cUCF8v8pkT9-Ktl7ZShYiDOQh1pTZ_BU%26dib_tag%3Dse%26keywords%3DMotorola%2Bedge%2B50%2Bfusion%26qid%3D1716021387%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Lava O2 (Imperial Green, 8GB RAM, UFS 2.2 128GB Storage) |AG Glass Back|T616 Octacore Processor|18W Fast Charging|6.5 inch 90Hz Punch Hole Display|50MP AI Dual Camera|Upto 16GB Expandable RAM"                ,"₹7,999"    ,3.8 out of 5 stars ,47                       ,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjY3MzU1NTYyNjc1MTM4OjE3MTYwMjEzODc6c3BfYXRmX25leHQ6MzAwMTczMjg5MDAzMTMyOjowOjo&url=%2FLava-O2-Imperial-Green-Expandable%2Fdp%2FB0CVL7G8GG%2Fref%3Dsr_1_18_sspa%3Fdib%3DeyJ2IjoiMSJ9.SKaw07qgXnHx47Xz0PmLtz0PWiwoBF9o2gWHarZxiR3znCWheagb-QdTrX1_N5X_41zJIZ0BHj-ct-YEkTSRRMg2h14QScIkz6tpHA8D8p1e-a_Xt8AvWUL-Xe0vHwz_lwrnkbEtGrZG4BhT5qr5nnOMhTv4I9sgjL2aEC5fwLmNhZd9Qu_ja0hPU9DW--H9TSDPae1bETY-xyrBoIhDaP7FuN8xBCfmKBufxLNerqs.om6M-O_l962cUCF8v8pkT9-Ktl7ZShYiDOQh1pTZ_BU%26dib_tag%3Dse%26keywords%3DMotorola%2Bedge%2B50%2Bfusion%26qid%3D1716021387%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
