Description,Price,Rating,Review Count,URL
"Acer Aspire Lite 12th Gen Intel Core i5-1235U Thin and Light Metal Laptop (Windows 11 Home/16GB RAM/512GB SSD/Intel Iris Xe Graphics/MSO) AL15-52, 39.62cm (15.6"") Full HD Display, Steel Gray, 1.59 KG","₹46,490",3.8 out of 5 stars,398,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MTY0NzA3NDQ1MDU2MTQ4OjE3MTY4OTM1MTc6c3BfbXRmOjMwMDE2NDQ3NzcwNDYzMjo6MDo6&url=%2FAcer-i5-1235U-Windows-Graphics-AL15-52%2Fdp%2FB0CY1YWC3Y%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.k3xERNfFxMGReJzPTFX5uiC_VsWnJucmG8N0aVvbFDNhfQZNQZc8V7L5pIpLNv5H2gDsmvHbfWo-PLnS2nGQKyoJbDx1DTfOcwnAH55kWEFlCHT6WD7USGhkveUn6nE6fj-m5uJVpPuQoQ80f20He_b5XRVEUe74t3KqlIAmkX_5bCEXUbZ94_Fwjx1tGL2ugt8kGHVMOugKSL0eNs_TF93OAjYweqQnF3wHlSVVO90.QES0l5nvz7q0iOkC9jGOeWIW3-YejF2rijjBqxThlfM%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1716893517%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Dell 14 Laptop, 12th Gen Intel Core i3-1215U Processor/8GB/512GB SSD/Intel UHD Graphics/14.0""(35.56cm) FHD/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Grey/Thin & Light 1.48kg","₹35,990",3.8 out of 5 stars,600,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MTY0NzA3NDQ1MDU2MTQ4OjE3MTY4OTM1MTc6c3BfbXRmOjMwMDA2ODM5OTI5MDczMjo6MDo6&url=%2FDell-14-Rheinland-Certified-Comfortview%2Fdp%2FB0BQJ9HZPP%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.k3xERNfFxMGReJzPTFX5uiC_VsWnJucmG8N0aVvbFDNhfQZNQZc8V7L5pIpLNv5H2gDsmvHbfWo-PLnS2nGQKyoJbDx1DTfOcwnAH55kWEFlCHT6WD7USGhkveUn6nE6fj-m5uJVpPuQoQ80f20He_b5XRVEUe74t3KqlIAmkX_5bCEXUbZ94_Fwjx1tGL2ugt8kGHVMOugKSL0eNs_TF93OAjYweqQnF3wHlSVVO90.QES0l5nvz7q0iOkC9jGOeWIW3-YejF2rijjBqxThlfM%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1716893517%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"ASUS VivoBook 15 (2021) Thin and Light Laptop, Dual Core Intel Celeron N4020, 15.6-inch (39.62 cm) HD, (4GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Transparent Silver/1.8 Kg), X515MA-BR011W","₹20,790",4.0 out of 5 stars,"1,489",https://www.amazon.in/ASUS-15-6-inch-Integrated-Transparent-X515MA-BR011W/dp/B09SGGB687/ref=sr_1_13?dib=eyJ2IjoiMSJ9.k3xERNfFxMGReJzPTFX5uiC_VsWnJucmG8N0aVvbFDNhfQZNQZc8V7L5pIpLNv5H2gDsmvHbfWo-PLnS2nGQKyoJbDx1DTfOcwnAH55kWEFlCHT6WD7USGhkveUn6nE6fj-m5uJVpPuQoQ80f20He_b5XRVEUe74t3KqlIAmkX_5bCEXUbZ94_Fwjx1tGL2ugt8kGHVMOugKSL0eNs_TF93OAjYweqQnF3wHlSVVO90.QES0l5nvz7q0iOkC9jGOeWIW3-YejF2rijjBqxThlfM&dib_tag=se&keywords=laptops&qid=1716893517&sr=8-13
"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/8 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg","₹31,999",4.0 out of 5 stars,739,https://www.amazon.in/Acer-i3-1215U-Premium-Windows-AL15-52/dp/B0CKLN7PSZ/ref=sr_1_14?dib=eyJ2IjoiMSJ9.k3xERNfFxMGReJzPTFX5uiC_VsWnJucmG8N0aVvbFDNhfQZNQZc8V7L5pIpLNv5H2gDsmvHbfWo-PLnS2nGQKyoJbDx1DTfOcwnAH55kWEFlCHT6WD7USGhkveUn6nE6fj-m5uJVpPuQoQ80f20He_b5XRVEUe74t3KqlIAmkX_5bCEXUbZ94_Fwjx1tGL2ugt8kGHVMOugKSL0eNs_TF93OAjYweqQnF3wHlSVVO90.QES0l5nvz7q0iOkC9jGOeWIW3-YejF2rijjBqxThlfM&dib_tag=se&keywords=laptops&qid=1716893517&sr=8-14
"(Refurbished) Lenovo ThinkPad 7th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics)","₹15,644",4.0 out of 5 stars,189,https://www.amazon.in/Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR4BZMQG/ref=sr_1_15?dib=eyJ2IjoiMSJ9.k3xERNfFxMGReJzPTFX5uiC_VsWnJucmG8N0aVvbFDNhfQZNQZc8V7L5pIpLNv5H2gDsmvHbfWo-PLnS2nGQKyoJbDx1DTfOcwnAH55kWEFlCHT6WD7USGhkveUn6nE6fj-m5uJVpPuQoQ80f20He_b5XRVEUe74t3KqlIAmkX_5bCEXUbZ94_Fwjx1tGL2ugt8kGHVMOugKSL0eNs_TF93OAjYweqQnF3wHlSVVO90.QES0l5nvz7q0iOkC9jGOeWIW3-YejF2rijjBqxThlfM&dib_tag=se&keywords=laptops&qid=1716893517&sr=8-15
"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU","₹33,490",4.1 out of 5 stars,"2,699",https://www.amazon.in/HP-15-6inch-Micro-Edge-Anti-Glare-15s-Eq2143au/dp/B09R1MMMTH/ref=sr_1_16?dib=eyJ2IjoiMSJ9.k3xERNfFxMGReJzPTFX5uiC_VsWnJucmG8N0aVvbFDNhfQZNQZc8V7L5pIpLNv5H2gDsmvHbfWo-PLnS2nGQKyoJbDx1DTfOcwnAH55kWEFlCHT6WD7USGhkveUn6nE6fj-m5uJVpPuQoQ80f20He_b5XRVEUe74t3KqlIAmkX_5bCEXUbZ94_Fwjx1tGL2ugt8kGHVMOugKSL0eNs_TF93OAjYweqQnF3wHlSVVO90.QES0l5nvz7q0iOkC9jGOeWIW3-YejF2rijjBqxThlfM&dib_tag=se&keywords=laptops&qid=1716893517&sr=8-16
"Dell 14 Laptop, 12th Gen Intel Core i3-1215U Processor/8GB/512GB SSD/Intel UHD Graphics/14.0""(35.56cm) FHD/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Grey/Thin & Light 1.48kg","₹35,990",3.8 out of 5 stars,600,https://www.amazon.in/Dell-14-Rheinland-Certified-Comfortview/dp/B0BQJ9HZPP/ref=sr_1_17?dib=eyJ2IjoiMSJ9.k3xERNfFxMGReJzPTFX5uiC_VsWnJucmG8N0aVvbFDNhfQZNQZc8V7L5pIpLNv5H2gDsmvHbfWo-PLnS2nGQKyoJbDx1DTfOcwnAH55kWEFlCHT6WD7USGhkveUn6nE6fj-m5uJVpPuQoQ80f20He_b5XRVEUe74t3KqlIAmkX_5bCEXUbZ94_Fwjx1tGL2ugt8kGHVMOugKSL0eNs_TF93OAjYweqQnF3wHlSVVO90.QES0l5nvz7q0iOkC9jGOeWIW3-YejF2rijjBqxThlfM&dib_tag=se&keywords=laptops&qid=1716893517&sr=8-17
"(Refurbished) Lenovo ThinkPad 5th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 10 Pro/MS Office/WiFi/Webcam/Intel Graphics), Black","₹13,989",4.1 out of 5 stars,157,https://www.amazon.in/Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR495DW5/ref=sr_1_18?dib=eyJ2IjoiMSJ9.k3xERNfFxMGReJzPTFX5uiC_VsWnJucmG8N0aVvbFDNhfQZNQZc8V7L5pIpLNv5H2gDsmvHbfWo-PLnS2nGQKyoJbDx1DTfOcwnAH55kWEFlCHT6WD7USGhkveUn6nE6fj-m5uJVpPuQoQ80f20He_b5XRVEUe74t3KqlIAmkX_5bCEXUbZ94_Fwjx1tGL2ugt8kGHVMOugKSL0eNs_TF93OAjYweqQnF3wHlSVVO90.QES0l5nvz7q0iOkC9jGOeWIW3-YejF2rijjBqxThlfM&dib_tag=se&keywords=laptops&qid=1716893517&sr=8-18
"Dell [Smartchoice] 15 Laptop, 12th Gen Intel Core i3-1215U Processor/8GB/512GB SSD/Intel UHD Graphics/15.6""(39.62cm) FHD/Win 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Grey/T & L 1.48kg","₹35,990",3.8 out of 5 stars,600,https://www.amazon.in/Dell-i3-1215U-Graphic-Spill-Resistant-Keyboard/dp/B0BQJ68HHC/ref=sr_1_19?dib=eyJ2IjoiMSJ9.k3xERNfFxMGReJzPTFX5uiC_VsWnJucmG8N0aVvbFDNhfQZNQZc8V7L5pIpLNv5H2gDsmvHbfWo-PLnS2nGQKyoJbDx1DTfOcwnAH55kWEFlCHT6WD7USGhkveUn6nE6fj-m5uJVpPuQoQ80f20He_b5XRVEUe74t3KqlIAmkX_5bCEXUbZ94_Fwjx1tGL2ugt8kGHVMOugKSL0eNs_TF93OAjYweqQnF3wHlSVVO90.QES0l5nvz7q0iOkC9jGOeWIW3-YejF2rijjBqxThlfM&dib_tag=se&keywords=laptops&qid=1716893517&sr=8-19
"Dell 15 Laptop, 12th Gen Intel Core i5-1235U Processor, 8GB, 512GB SSD, 15.6"" (39.62cm) FHD Display, Win 11 + MSO'21, 15 Month McAfee Antivirus, Black, Spill-Resistant Keyboard, Thin & Light- 1.66kg","₹46,990",3.8 out of 5 stars,600,https://www.amazon.in/Dell-i5-1235U-Processor-Antivirus-Spill-Resistant/dp/B0CSG4G18G/ref=sr_1_20?dib=eyJ2IjoiMSJ9.k3xERNfFxMGReJzPTFX5uiC_VsWnJucmG8N0aVvbFDNhfQZNQZc8V7L5pIpLNv5H2gDsmvHbfWo-PLnS2nGQKyoJbDx1DTfOcwnAH55kWEFlCHT6WD7USGhkveUn6nE6fj-m5uJVpPuQoQ80f20He_b5XRVEUe74t3KqlIAmkX_5bCEXUbZ94_Fwjx1tGL2ugt8kGHVMOugKSL0eNs_TF93OAjYweqQnF3wHlSVVO90.QES0l5nvz7q0iOkC9jGOeWIW3-YejF2rijjBqxThlfM&dib_tag=se&keywords=laptops&qid=1716893517&sr=8-20
