Description                                                                             ,Price     ,Rating ,Rating Count        ,URL
"POCO C65 (Pastel Blue, 128 GB)"                                                        ,"₹6,799"  ,   4.2 ,"14,556 Ratings "   ,https://www.flipkart.com//poco-c65-pastel-blue-128-gb/p/itm1586ff4fb1c2b?pid=MOBGVVTXZESSZY4W&lid=LSTMOBGVVTXZESSZY4WVAOO2Y&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&iid=5516b964-d6da-4482-8b3b-492414725f37.MOBGVVTXZESSZY4W.SEARCH&ssid=ny7lpe0an40000001715709793731&qH=eb4af0bf07c16429
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)"                                       ,"₹18,847" ,   4.4 ,"66,397 Ratings "   ,https://www.flipkart.com//oneplus-nord-ce-3-lite-5g-pastel-lime-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ3ZFQ8AKKRS&lid=LSTMOBGZJ3ZFQ8AKKRSNGWNCD&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&iid=5516b964-d6da-4482-8b3b-492414725f37.MOBGZJ3ZFQ8AKKRS.SEARCH&ssid=ny7lpe0an40000001715709793731&qH=eb4af0bf07c16429
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)"                                    ,"₹18,843" ,   4.4 ,"66,397 Ratings "   ,https://www.flipkart.com//oneplus-nord-ce-3-lite-5g-chromatic-gray-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ45PS4AQ7BA&lid=LSTMOBGZJ45PS4AQ7BAVDNIED&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&iid=5516b964-d6da-4482-8b3b-492414725f37.MOBGZJ45PS4AQ7BA.SEARCH&ssid=ny7lpe0an40000001715709793731&qH=eb4af0bf07c16429
"MOTOROLA G04 (Satin Blue, 128 GB)"                                                     ,"₹7,999"  ,   4.1 ,"3,629 Ratings "    ,https://www.flipkart.com//motorola-g04-satin-blue-128-gb/p/itm723b134b6121c?pid=MOBGUFK4DNFX5BFV&lid=LSTMOBGUFK4DNFX5BFVR3WXGI&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&iid=5516b964-d6da-4482-8b3b-492414725f37.MOBGUFK4DNFX5BFV.SEARCH&ssid=ny7lpe0an40000001715709793731&qH=eb4af0bf07c16429
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)"                                    ,"₹16,847" ,   4.4 ,"66,397 Ratings "   ,https://www.flipkart.com//oneplus-nord-ce-3-lite-5g-chromatic-gray-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ42KHUZZKMN&lid=LSTMOBGZJ42KHUZZKMNC9YZ6W&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&iid=5516b964-d6da-4482-8b3b-492414725f37.MOBGZJ42KHUZZKMN.SEARCH&ssid=ny7lpe0an40000001715709793731&qH=eb4af0bf07c16429
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)"                                       ,"₹16,837" ,   4.4 ,"66,397 Ratings "   ,https://www.flipkart.com//oneplus-nord-ce-3-lite-5g-pastel-lime-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ3WM5SGTGVZ&lid=LSTMOBGZJ3WM5SGTGVZPBHPQE&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&iid=5516b964-d6da-4482-8b3b-492414725f37.MOBGZJ3WM5SGTGVZ.SEARCH&ssid=ny7lpe0an40000001715709793731&qH=eb4af0bf07c16429
"POCO C65 (Matte Black, 128 GB)"                                                        ,"₹6,799"  ,   4.2 ,"14,556 Ratings "   ,https://www.flipkart.com//poco-c65-matte-black-128-gb/p/itm8ea3d87aa6c0c?pid=MOBGVVTXAFHYHDZS&lid=LSTMOBGVVTXAFHYHDZSK9U3D1&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=FkPickId_tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&iid=5516b964-d6da-4482-8b3b-492414725f37.MOBGVVTXAFHYHDZS.SEARCH&ssid=ny7lpe0an40000001715709793731&qH=eb4af0bf07c16429
"POCO M6 Pro 5G (Power Black, 128 GB)"                                                  ,"₹9,999"  ,   4.3 ,"84,643 Ratings "   ,https://www.flipkart.com//poco-m6-pro-5g-power-black-128-gb/p/itmef8fa46f89738?pid=MOBGRNZ3ER4N3K4F&lid=LSTMOBGRNZ3ER4N3K4FIYYGCU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&iid=5516b964-d6da-4482-8b3b-492414725f37.MOBGRNZ3ER4N3K4F.SEARCH&ssid=ny7lpe0an40000001715709793731&qH=eb4af0bf07c16429
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)"                                             ,"₹11,990" ,   4.2 ,"1,02,030 Ratings " ,https://www.flipkart.com//samsung-galaxy-f14-5g-omg-black-128-gb/p/itmae94033406fb2?pid=MOBGNBFNE6KGXCCR&lid=LSTMOBGNBFNE6KGXCCRXLTXS7&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&iid=5516b964-d6da-4482-8b3b-492414725f37.MOBGNBFNE6KGXCCR.SEARCH&ssid=ny7lpe0an40000001715709793731&qH=eb4af0bf07c16429
"POCO C65 (Pastel Blue, 256 GB)"                                                        ,"₹8,249"  ,   4.2 ,"3,515 Ratings "    ,https://www.flipkart.com//poco-c65-pastel-blue-256-gb/p/itm25756864abc77?pid=MOBGVVTX2QNXDJ2W&lid=LSTMOBGVVTX2QNXDJ2WLNZIWO&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&iid=5516b964-d6da-4482-8b3b-492414725f37.MOBGVVTX2QNXDJ2W.SEARCH&ssid=ny7lpe0an40000001715709793731&qH=eb4af0bf07c16429
"REDMI 13C (Starshine Green, 128 GB)"                                                   ,"₹7,699"  ,   4.3 ,"12,884 Ratings "   ,https://www.flipkart.com//redmi-13c-starshine-green-128-gb/p/itmc4f0763fb3a50?pid=MOBGW4HKUXHFDYU2&lid=LSTMOBGW4HKUXHFDYU2WMFCCU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&iid=5516b964-d6da-4482-8b3b-492414725f37.MOBGW4HKUXHFDYU2.SEARCH&ssid=ny7lpe0an40000001715709793731&qH=eb4af0bf07c16429
"REDMI 13C (Stardust Black, 128 GB)"                                                    ,"₹7,699"  ,   4.3 ,"12,884 Ratings "   ,https://www.flipkart.com//redmi-13c-stardust-black-128-gb/p/itm9b22752239e4d?pid=MOBGW4HKVU4ZGZFZ&lid=LSTMOBGW4HKVU4ZGZFZCHB6WV&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&iid=5516b964-d6da-4482-8b3b-492414725f37.MOBGW4HKVU4ZGZFZ.SEARCH&ssid=ny7lpe0an40000001715709793731&qH=eb4af0bf07c16429
"MOTOROLA G04 (Concord Black, 64 GB)"                                                   ,"₹6,999"  ,   4.2 ,"8,197 Ratings "    ,https://www.flipkart.com//motorola-g04-concord-black-64-gb/p/itm1466484dd2cea?pid=MOBGUFK4HPBEUCFH&lid=LSTMOBGUFK4HPBEUCFHHMCZAP&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&iid=5516b964-d6da-4482-8b3b-492414725f37.MOBGUFK4HPBEUCFH.SEARCH&ssid=ny7lpe0an40000001715709793731&qH=eb4af0bf07c16429
"MOTOROLA g24 Power (Glacier Blue, 128 GB)"                                             ,"₹7,999"  ,   4.2 ,"7,183 Ratings "    ,https://www.flipkart.com//motorola-g24-power-glacier-blue-128-gb/p/itm766650509967e?pid=MOBGUFK4FEVX2D5T&lid=LSTMOBGUFK4FEVX2D5TYKGLO6&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&iid=5516b964-d6da-4482-8b3b-492414725f37.MOBGUFK4FEVX2D5T.SEARCH&ssid=ny7lpe0an40000001715709793731&qH=eb4af0bf07c16429
"Motorola Edge 40 Neo (Peach Fuzz, 128 GB)"                                             ,"₹20,999" ,   4.3 ,"43,710 Ratings "   ,https://www.flipkart.com//motorola-edge-40-neo-peach-fuzz-128-gb/p/itm6fb5c2c795a3d?pid=MOBGW6JJ4ZJHVGXE&lid=LSTMOBGW6JJ4ZJHVGXE5ZQ3A2&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_25&otracker=search&otracker1=search&fm=organic&iid=67ea9f45-1ede-43bd-befd-65ba3e66479a.MOBGW6JJ4ZJHVGXE.SEARCH&ppt=sp&ppn=sp&ssid=8zn53c9du80000001715709795195&qH=eb4af0bf07c16429
"POCO C65 (Pastel Green, 256 GB)"                                                       ,"₹8,249"  ,   4.2 ,"3,515 Ratings "    ,https://www.flipkart.com//poco-c65-pastel-green-256-gb/p/itme1fa07e0c84ac?pid=MOBGXTV9GHFS38NM&lid=LSTMOBGXTV9GHFS38NMKH3FIC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_26&otracker=search&otracker1=search&fm=organic&iid=67ea9f45-1ede-43bd-befd-65ba3e66479a.MOBGXTV9GHFS38NM.SEARCH&ppt=sp&ppn=sp&ssid=8zn53c9du80000001715709795195&qH=eb4af0bf07c16429
